Trip,Period,Month,Collection date,Year,Rodent ID,Host Species,Sex,Body Weight (g),Tested chigger,OT positive chigger,OT positive chigger-no. sample,RT positive chigger,RT positive chigger-no samples,Rodent ID,Tested samples,Sero-STG,Sero-STG,Sero-MT,Sero-MT,Sero-SFG,Sero-SFG,Sero-STG only,Sero-MTG only,Sero-SFG only,Sero-STG+MT,Sero-STG+SFG,Sero-MT+SFG,Scrub typhus qPCR,Type of tissue,Genotype,Rickett qPCR,Type of tissue,Genotype,Project,Province,District,Tumbon,MuBaan,Moo,Coordinate,Latitude,Longitude,Note,Rodent with chigger,Number of chigger,Leptotrombidium,Scheogastia,Ascoscheogastia,Gahrliepia (Walchia),Blankaartia,Helenicula,trombiculindus,Microtrombicula,Eutrombicula,Lorillatum,Flea,Tick,Mange mite,Lice,Other  mite,Note,Tick stock
73,Jan-Mar,1,10-Jan-23,2023,LS0247,Bandicota indica,F,550,,,,,,LS0247,1,N,,N,,1:400,1,,,1,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 43.25 E 101 20 25.29,12.978681,101.340358,Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,10-Jan-23,2023,LS0248,Rattus exulans,F,41,,,,,,LS0248,1,N,,N,,1:800,1,,,1,,,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,10-Jan-23,2023,LS0249,Rattus tanezumi,M,32,,,,,,LS0249,1,N,,N,,1:200,1,,,1,,,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,,,,,,,,,,,,,,,,,6,,
73,Jan-Mar,1,10-Jan-23,2023,LS0250,Rattus tanezumi,F,103,,,,,,LS0250,1,N,,N,,"1:1,600",1,,,1,,,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,1,9,,,9,,,,,,,,,,,,,,
73,Jan-Mar,1,10-Jan-23,2023,LS0251,Rattus tanezumi,F,92,,,,,,LS0251,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,,,,,,,,,,,,,,,,,1,,
73,Jan-Mar,1,11-Jan-23,2023,LS0252,Rattus tanezumi,M,126,,,,,,LS0252,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 43.25 E 101 20 25.29,12.978681,101.340358,Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,11-Jan-23,2023,LS0253,Berylmys berdmorei,F,206,,,,,,LS0253,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 43.25 E 101 20 25.29,12.978681,101.340358,Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,11-Jan-23,2023,LS0254,Rattus tanezumi,M,164,,,,,,LS0254,1,N,,N,,1:800,1,,,1,,,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,11-Jan-23,2023,LS0255,Rattus tanezumi,F,115,,,,,,LS0255,1,N,,N,,"1:6,400",1,,,1,,,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,,,,,,,,,,,,,,,,,,,
73,Jan-Mar,1,11-Jan-23,2023,LS0256,Rattus tanezumi,F,59,,,,,,LS0256,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Wang Chan,Plongta-Eaem,Ban Khao Talad School,1,N12 54 47.09 E 101 31 56.07,12.913081,101.532242,Ban Khao Talad School,,,,,,,,,,,,,,,,,,,
