Repellent product,No. of chigger,No. of chigger walk away from the compound (n),chigger walk away from the compound (%),No. of chigger walk toward the compound (n),chigger walk toward the compound (%),Average walking distance radius,Median walking distance radius
CO2,34,5,14.7,29,85.3,14,12
Control,32,23,71.9,9,28.1,13.6,11.5
DEET Milky lotion + CO2,31,21,67.7,10,32.3,12.4,10
OFF Sportman + CO2,31,22,71,8,25.8,16.2,11
Ultrathon lotion + CO2,36,24,66.7,10,27.8,15.9,15.5
Chigg Away + CO2,36,27,75,7,19.4,16.6,12.5
Natrapel + CO2,38,31,81.6,6,15.8,17.5,14
Nootkatone-844 + CO2,36,16,44.4,18,50,20.4,14
Nootkatone-845 + CO2,32,17,53.1,15,46.9,20,12.5
Nootkatone-747 + CO2,38,15,39.5,23,60.5,21.3,12
Nootkatone-610 + CO2,33,25,75.8,8,24.2,16.9,12
Nootkatone-744 + CO2,37,24,64.9,12,32.4,24.1,12
